timestamp,middle,index,thumb
1753134911.8380582,0,0,0
1753134911.8383143,0,0,0
1753134911.8385606,0,0,0
1753134911.8388152,0,0,0
1753134911.8390932,0,0,0
1753134911.8393447,0,0,0
1753134911.8396297,0,0,0
1753134911.8398921,0,0,0
1753134911.840146,0,0,0
1753134911.8403873,0,0,0
1753134911.9860468,0,0,0
1753134912.186054,0,0,0
1753134912.3860574,0,0,0
1753134912.5860236,0,0,0
1753134912.7860873,0,0,0
1753134912.9860694,0,0,0
1753134913.1861804,0,0,0
1753134913.386092,0,0,0
1753134913.5860522,0,0,0
1753134913.7860844,0,0,0
1753134913.9860868,0,0,0
1753134914.1860688,0,0,0
1753134914.3860893,0,0,0
1753134914.5860715,0,0,0
1753134914.7860157,0,0,0
1753134914.986043,0,0,0
1753134915.1860824,0,0,0
1753134915.3860743,0,0,0
1753134915.5860744,0,0,0
1753134915.7860758,0,0,0
1753134915.9860346,0,0,0
1753134916.1860733,0,0,0
1753134916.3860743,0,0,0
1753134916.5861049,0,0,0
1753134916.7860444,0,0,0
1753134916.9860766,0,0,0
1753134917.186097,0,0,0
1753134917.3860626,0,0,0
1753134917.5860605,0,0,0
1753134917.786136,0,0,3186
1753134917.9862044,0,0,4095
1753134918.1861625,0,0,4095
1753134918.386205,0,0,4095
1753134918.5861218,0,0,4095
1753134918.7861023,0,0,4095
1753134918.9861348,0,0,4095
1753134919.1860962,0,0,4095
1753134919.3860219,0,0,0
1753134919.5860555,0,0,0
1753134919.786088,0,0,0
1753134919.9860585,0,0,0
1753134920.1860602,0,0,0
1753134920.386055,679,0,0
1753134920.586136,860,0,0
1753134920.7860024,899,0,0
1753134920.9860725,896,0,0
1753134921.1860476,875,0,0
1753134921.3860667,881,0,0
1753134921.5860672,880,0,0
1753134921.786032,882,0,0
1753134921.98607,894,0,0
1753134922.1860297,871,0,0
1753134922.3860598,0,0,0
1753134922.5860322,0,0,0
1753134922.7860806,0,0,0
1753134922.9861126,0,0,0
1753134923.1861715,0,0,0
1753134923.386101,0,0,0
1753134923.5860786,0,0,0
1753134923.7860775,0,0,0
1753134923.986058,0,0,0
1753134924.186047,0,0,0
1753134924.3860548,0,0,0
1753134924.5860593,0,0,0
1753134924.7860472,0,0,0
1753134924.9860196,0,0,0
1753134925.1860664,0,0,0
1753134925.3860168,0,0,0
1753134925.5860572,0,0,0
1753134925.786051,0,0,0
1753134925.9860654,0,0,0
1753134926.1860464,0,0,0
1753134926.386085,0,0,0
1753134926.586046,0,0,0
1753134926.7860463,0,1354,0
1753134926.9861202,0,2907,0
1753134927.186065,0,3371,0
1753134927.3861225,0,3177,0
1753134927.5861466,0,3038,0
1753134927.7860749,0,3106,0
1753134927.9861956,0,2946,0
1753134928.1860437,0,2895,0
1753134928.3861275,0,2869,0
1753134928.5861237,0,2974,0
1753134928.7860425,0,2486,0
1753134928.9860091,0,0,0
1753134929.1860642,0,0,0
1753134929.3860564,0,0,0
1753134929.5860322,0,0,0
1753134929.786012,0,0,0
1753134929.986048,0,0,0
1753134930.1860323,0,0,1774
1753134930.3860562,0,0,4031
1753134930.5860329,0,0,4095
1753134930.7860575,0,0,4095
1753134930.9861321,0,0,4095
1753134931.186122,0,0,4095
1753134931.3860328,0,0,0
1753134931.586012,0,0,0
1753134931.7860851,0,0,0
1753134931.986067,0,0,0
1753134932.1860895,0,0,1559
1753134932.3860967,0,0,944
1753134932.5860763,0,0,0
1753134932.7860854,0,0,0
1753134932.9860935,0,0,0
1753134933.1860383,0,0,0
1753134933.386114,0,0,0
1753134933.5860348,0,0,0
1753134933.785996,0,0,0
1753134933.985962,0,0,0
1753134934.1860604,0,0,0
1753134934.3860629,0,0,0
1753134934.5860033,0,0,0
1753134934.7859983,0,0,0
1753134934.9860861,0,0,0
1753134935.1860602,0,0,0
1753134935.3859832,0,0,0
1753134935.5860739,0,0,0
1753134935.786048,0,0,0
1753134935.9860706,0,0,0
1753134936.1860569,0,0,0
1753134936.386045,0,0,0
1753134936.5860486,0,0,0
1753134936.786108,0,0,0
1753134936.9860306,0,0,0
1753134937.1860056,0,0,0
1753134937.3861275,0,0,0
1753134937.5860722,0,0,0
1753134937.7859483,0,0,0
1753134937.9860513,0,0,0
1753134938.1861398,0,0,0
1753134938.3859937,0,0,0
1753134938.5860162,0,0,0
1753134938.7860332,0,0,0
1753134938.986004,0,0,0
1753134939.1860096,0,0,0
1753134939.3865337,0,0,0
1753134939.5861366,0,0,0
1753134939.786025,0,0,0
1753134939.986081,0,0,0
1753134940.185987,0,0,0
1753134940.3860137,0,0,0
1753134940.5863833,0,0,0
1753134940.786095,0,0,0
1753134940.986073,0,0,0
1753134941.1860993,0,0,0
1753134941.3860362,0,0,0
1753134941.5862215,0,0,0
1753134941.7860606,0,0,0
1753134941.9859986,0,0,0
1753134942.1860557,0,0,0
1753134942.3860583,0,0,0
1753134942.5859637,0,0,0
1753134942.786058,0,0,0
1753134942.98597,0,0,0
1753134943.1863415,0,0,0
1753134943.3860915,0,0,0
1753134943.5860667,0,0,0
1753134943.7860708,0,0,0
1753134943.9860678,0,0,0
1753134944.1865475,0,0,0
1753134944.3861156,0,0,0
1753134944.5860114,0,0,0
1753134944.7859766,0,0,0
1753134944.9859724,0,0,0
1753134945.1860478,0,0,0
1753134945.3860068,0,0,0
1753134945.5860028,0,0,0
1753134945.7861211,0,0,0
1753134945.9860694,0,0,0
1753134946.1860025,0,0,0
1753134946.3860781,0,0,0
1753134946.5860934,0,0,0
1753134946.7860508,0,0,0
1753134946.9864478,0,0,0
1753134947.1860888,0,0,0
1753134947.3859901,0,0,0
1753134947.5860577,0,0,0
1753134947.7860024,0,0,0
1753134947.9860384,0,0,0
1753134948.1859958,0,0,0
1753134948.3860517,0,0,0
1753134948.586011,0,0,0
1753134948.7860818,0,0,0
1753134948.9860659,0,0,0
1753134949.1860719,0,0,0
1753134949.3860254,0,0,0
1753134949.5859652,0,0,0
1753134949.7859566,0,0,0
1753134949.9859784,0,0,0
1753134950.1859798,0,0,0
1753134950.3860688,0,0,0
1753134950.585995,0,0,0
1753134950.7860196,0,0,0
1753134950.9860272,0,0,0
1753134951.1860394,0,0,0
1753134951.3860784,0,0,0
1753134951.5860524,0,0,0
1753134951.7860672,0,0,0
1753134951.9860198,0,0,0
